"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 29 17:14:35 UTC 2025","Tue Jul 29 17:14:35 UTC 2025","172","Books and Authors API Automation Suite","Authors API Tests","com.avenga.yablonskyi.tests.authors.AuthorsPositiveTest","com.avenga.yablonskyi.tests.authors.AuthorsPositiveTest","checkDeleteAuthor","Verify that author can be deleted via API","Ensure that an author can be deleted using DELETE /Authors/{id}."
"passed","Tue Jul 29 17:14:34 UTC 2025","Tue Jul 29 17:14:34 UTC 2025","189","Books and Authors API Automation Suite","Authors API Tests","com.avenga.yablonskyi.tests.authors.AuthorsPositiveTest","com.avenga.yablonskyi.tests.authors.AuthorsPositiveTest","checkCreateAuthor","Verify that new author can be created via API","Ensure that a new author can be successfully created using POST /Authors."
"failed","Tue Jul 29 17:14:33 UTC 2025","Tue Jul 29 17:14:33 UTC 2025","173","Books and Authors API Automation Suite","Books API Tests","com.avenga.yablonskyi.tests.books.BooksEdgeCasesTest","com.avenga.yablonskyi.tests.books.BooksEdgeCasesTest","checkCreateBookWithExistingId","Verify that creating a book with existing ID is not allowed ","Ensure POST /Books fails with proper error code when book ID already exists."
"failed","Tue Jul 29 17:14:33 UTC 2025","Tue Jul 29 17:14:33 UTC 2025","170","Books and Authors API Automation Suite","Books API Tests","com.avenga.yablonskyi.tests.books.BooksEdgeCasesTest","com.avenga.yablonskyi.tests.books.BooksEdgeCasesTest","checkCreateBookWithMissingFieldsReturns400","Verify that posting a book with missing required fields fails","Ensure POST /Books fails with 400 when required fields are missing."
"passed","Tue Jul 29 17:14:32 UTC 2025","Tue Jul 29 17:14:32 UTC 2025","183","Books and Authors API Automation Suite","Books API Tests","com.avenga.yablonskyi.tests.books.BooksPositiveTest","com.avenga.yablonskyi.tests.books.BooksPositiveTest","checkUpdateBook","Verify that existing book can be updated via API","Ensure that an existing book's data can be updated using PUT /Books/{id}."
"passed","Tue Jul 29 17:14:33 UTC 2025","Tue Jul 29 17:14:33 UTC 2025","397","Books and Authors API Automation Suite","Authors API Tests","com.avenga.yablonskyi.tests.authors.AuthorsPositiveTest","com.avenga.yablonskyi.tests.authors.AuthorsPositiveTest","checkGetAllAuthors","Verify that all authors informations can be retrieved via API","Ensure that the GET /Authors endpoint returns a non-empty list of authors."
"failed","Tue Jul 29 17:14:34 UTC 2025","Tue Jul 29 17:14:34 UTC 2025","172","Books and Authors API Automation Suite","Authors API Tests","com.avenga.yablonskyi.tests.authors.AuthorsEdgeCasesTest","com.avenga.yablonskyi.tests.authors.AuthorsEdgeCasesTest","checkDeleteNonExistingAuthorReturns404","Verify that deleting a non-existing author returns 404","Ensure that DELETE /Authors/{id} returns 404 when trying to delete a non-existing author."
"passed","Tue Jul 29 17:14:31 UTC 2025","Tue Jul 29 17:14:31 UTC 2025","240","Books and Authors API Automation Suite","Books API Tests","com.avenga.yablonskyi.tests.books.BooksEdgeCasesTest","com.avenga.yablonskyi.tests.books.BooksEdgeCasesTest","checkGetZeroIdBookReturns404","Verify that getting a book with zero ID returns 404","Ensure the API returns 404 when book ID = 0"
"failed","Tue Jul 29 17:14:32 UTC 2025","Tue Jul 29 17:14:33 UTC 2025","176","Books and Authors API Automation Suite","Books API Tests","com.avenga.yablonskyi.tests.books.BooksEdgeCasesTest","com.avenga.yablonskyi.tests.books.BooksEdgeCasesTest","checkUpdateNonExistingBook","Verify that updating a non-existing book returns 200 (fake behavior)","Ensure PUT /Books/{id} returns 404 when trying to update a non-existing book."
"passed","Tue Jul 29 17:14:34 UTC 2025","Tue Jul 29 17:14:34 UTC 2025","169","Books and Authors API Automation Suite","Authors API Tests","com.avenga.yablonskyi.tests.authors.AuthorsEdgeCasesTest","com.avenga.yablonskyi.tests.authors.AuthorsEdgeCasesTest","checkGetNonExistingAuthorReturns404","Verify that getting an author with non-existing ID returns 404","Ensure that GET /Authors/{id} returns 404 when the author ID does not exist."
